id,ace_rate
198,3.034482759
199,4.242424242
200,0.2
201,5.863636364
202,1.5
203,2
204,3.2
205,3.142857143
206,0.333333333
207,6.2
208,1
209,2
210,3.4
211,4.722222222
212,9.333333333
213,4.5
214,5
215,4.05
216,3
217,0
218,2.5
219,3.709677419
220,1.333333333
221,3.666666667
222,7.476190476
223,2.4
224,0
225,6.47826087
226,3.636363636
227,3
228,3.076923077
229,3.083333333
230,5.375
231,0.5
232,2.5
233,4.727272727
234,5
235,2.772727273
236,3.333333333
237,4.111111111
238,1
239,3.166666667
240,3
241,5.72
242,2
243,6.111111111
244,3.047619048
245,1.928571429
246,4.5
247,0
248,3
249,6.25
250,3
251,6.833333333
252,3.533333333
253,8.142857143
254,3
255,2.846153846
256,3.769230769
257,8.76
258,1.6
259,5.8
260,5.5
261,3
262,7.75
263,4.25
264,6.125
265,4.111111111
266,3.363636364
267,3.533333333
268,7
269,1.875
270,2
271,3.961538462
272,5.842105263
273,2.571428571
274,4.181818182
275,2.62962963
276,5.4
277,4
278,9
279,0.5
280,3.071428571
281,4.235294118
282,5.8
283,0.5
284,4.833333333
285,3.5
286,4.833333333
287,3.428571429
288,3
289,3.615384615
290,1.666666667
291,4.714285714
292,2.333333333
293,7
294,3.714285714
295,0.866666667
296,11.6
297,5.555555556
298,4.5
299,5.705882353
300,4
301,1.5
302,2.565217391
303,1.666666667
304,4
305,2
306,7.111111111
307,6.75
308,1
309,1.933333333
310,4.5
311,2.904761905
312,2
313,1.333333333
314,1.333333333
315,6.857142857
316,4
317,4.333333333
318,1
319,4.846153846
320,6
321,3.666666667
322,2.4
323,0.666666667
324,3.428571429
325,6.9
326,2.230769231
327,3.217391304
328,0
329,6.958333333
330,3.076923077
331,4.25
332,2.545454545
333,0
334,9.285714286
335,2.25
336,7.857142857
337,4.166666667
338,6.25
339,4.615384615
340,3.421052632
341,1.333333333
342,3.25
343,4.666666667
344,1
345,7.461538462
346,1.1
347,8
348,4
349,1.538461538
350,4.375
351,1.5
352,3.272727273
353,3.421052632
354,3.071428571
355,0.736842105
356,4.333333333
357,2
358,3.315789474
359,4.692307692
360,1
361,5
362,12
363,1.5
364,2
365,0.833333333
366,5.0625
367,4
368,10
369,1.666666667
370,1
371,7
372,1.5
373,3.5
374,2.25
375,3
376,0.8
377,0
378,2.5
379,3.444444444
380,2.791666667
381,2.357142857
382,1.25
383,2.357142857
384,5.571428571
385,7.333333333
386,1.25
387,3.866666667
388,4.5
389,2
390,1.666666667
391,5
392,10.45454545
393,3.916666667
394,7.333333333
395,1.5
396,5
397,8
398,3.125
399,4.9
400,21
401,3.666666667
402,6
403,4.2
404,0
405,7
406,2.272727273
407,3.4
408,2.2
409,3.5
410,6.888888889
411,1.545454545
412,5.333333333
413,1.5
414,1
415,3.75
416,0
417,3.785714286
418,3.833333333
419,1.380952381
420,2.6875
421,5.5
422,10.375
423,0
424,5.272727273
425,7
426,2
427,3
428,1.923076923
429,3.666666667
430,6.333333333
431,4.666666667
432,2.5
433,3.111111111
434,8
435,2.923076923
436,5.333333333
437,0
438,7.75
439,4.615384615
440,4.6
441,1.166666667
442,2.588235294
443,2.2
444,3.555555556
445,7.647058824
446,3.733333333
447,1.423076923
448,15.58333333
449,6.666666667
450,9.666666667
451,1.5
452,4.384615385
453,2.9
454,3
455,4.791666667
456,6.578947368
457,3.5
458,7.32
459,1.8
460,6.90625
461,2
462,3.333333333
463,0
464,6.277777778
465,1.6875
466,7.916666667
467,6
468,1.333333333
469,2.5
470,7.333333333
471,6
472,6.666666667
473,3.333333333
474,1.875
475,5.875
476,4.285714286
477,2.4
478,1
479,1.5
480,6.333333333
481,5.238095238
482,2.666666667
483,6
484,0.952380952
485,2.75
486,2.428571429
487,3.444444444
488,4.35
489,3
490,2.333333333
